			Stock 1			Stock 2			Stock 3			Stock 4
			14			23			19			44
			31			1			24			44
			18			11			27			44
			26			1			29			44
			15			10			31			44
			26			8			22			44
			21			9			26			44
			25			19			12			44
			32			8			16			44
			25			16			15			44
			29			4			23			44
			24			16			16			44
			26			15			15			44
			28			10			18			44
			10			25			21			44
			32			6			18			44
			10			20			26			44
			17			6			33			44
			28			16			12			44
			20			6			30			44
			25			7			24			44
			10			29			17			44
			34			5			17			44
			16			20			20			44
			16			30			10			44
			34			7			15			44
			14			19			23			44
			26			2			28			44
			19			5			32			44
			29			12			15			44
			21			7			28			44
			25			4			27			44
			22			3			31			44
			21			25			10			44
			12			28			16			44
			15			22			19			44
			11			14			31			44
			16			15			25			44
			28			1			27			44
			20			25			11			44
			23			19			14			44
			31			8			17			44
			12			24			20			44
			21			6			29			44
			16			27			13			44
			23			22			11			44
			12			34			10			44
			25			20			11			44
			35			7			14			44
			13			15			28			44
			23			17			16			44
			20			11			25			44
			15			8			33			44
			9			26			21			44
			29			6			21			44
			21			15			20			44
			21			2			33			44
			19			15			22			44
			31			14			11			44
			16			25			15			44
			25			10			21			44
			20			12			24			44
			24			20			12			44
			16			8			32			44
			33			11			12			44
			22			10			24			44
			18			9			29			44
			12			22			22			44
			28			8			20			44
			19			21			16			44
			30			15			11			44
			16			29			11			44
			24			15			17			44
			26			0			30			44
			24			3			29			44
			32			3			21			44
			31			2			23			44
			32			2			22			44
			9			31			16			44
			15			14			27			44
			19			12			25			44
			15			27			14			44
			29			10			17			44
			31			3			22			44
			9			29			18			44
			10			24			22			44
			32			0			24			44
			19			20			17			44
			22			22			12			44
			27			10			19			44
			10			35			11			44
			29			15			12			44
			12			26			18			44
			19			23			14			44
			26			17			13			44
			33			9			14			44
			30			8			18			44
			25			2			29			44
			29			13			14			44
			14			29			13			44
			31			12			13			44
			9			20			27			44
			22			8			26			44
			10			31			15			44
			25			12			19			44
			16			19			21			44
			17			18			21			44
			9			30			17			44
			24			14			18			44
			33			6			17			44
			20			20			16			44
			18			7			31			44
			11			27			18			44
			25			0			31			44
			23			4			29			44
			28			3			25			44
			34			8			14			44
			16			23			17			44
			19			25			12			44
			19			19			18			44
			32			1			23			44
			13			22			21			44
			12			32			12			44
			26			5			25			44
			20			26			10			44
			19			11			26			44
			18			15			23			44
			10			22			24			44
			18			27			11			44
			22			19			15			44
			21			11			24			44
			23			3			30			44
			32			13			11			44
			25			17			14			44
			27			15			14			44
			30			14			12			44
			14			21			21			44
			13			17			26			44
			17			21			18			44
			29			8			19			44
			12			18			26			44
			12			19			25			44
			34			3			19			44
			18			5			33			44
			17			11			28			44
			17			7			32			44
			24			6			26			44
			16			13			27			44
			21			16			19			44
			25			11			20			44
			13			26			17			44
			16			16			24			44
			26			12			18			44
			20			24			12			44
			24			4			28			44
			9			33			14			44
			13			18			25			44
			23			9			24			44
			13			11			32			44
			14			16			26			44
			29			1			26			44
			20			21			15			44
			22			12			22			44
			20			23			13			44
			19			4			33			44
			29			11			16			44
			15			25			16			44
			21			13			22			44
			21			3			32			44
			10			23			23			44
			30			10			16			44
			12			16			28			44
			15			13			28			44
			17			22			17			44
			21			24			11			44
			10			26			20			44
			34			11			11			44
			15			28			13			44
			32			5			19			44
			27			16			13			44
			17			10			29			44
			16			22			18			44
			10			28			18			44
			13			19			24			44
			10			18			28			44
			25			15			16			44
			11			13			32			44
			28			13			15			44
			30			0			26			44
			23			7			26			44
			9			19			28			44
			31			7			18			44
			17			9			30			44
			10			15			31			44
			34			6			16			44
			22			18			16			44
			21			17			18			44
			13			16			27			44
			12			30			14			44
			28			12			16			44
			33			7			16			44
			22			6			28			44
			9			21			26			44
			23			6			27			44
			26			14			16			44
			23			12			21			44
			28			9			19			44
			15			26			15			44
			25			6			25			44
			17			13			26			44
			9			36			11			44
			15			31			10			44
			14			22			20			44
			35			3			18			44
			23			8			25			44
			24			18			14			44
			18			8			30			44
			20			16			20			44
			13			34			9			44
			12			33			11			44
			32			12			12			44
			31			0			25			44
			13			12			31			44
			17			24			15			44
			19			18			19			44
			9			25			22			44
			19			8			29			44
			35			5			16			44
			12			35			9			44
			13			27			16			44
			26			4			26			44
			26			18			12			44
			23			1			32			44
			29			14			13			44
			25			9			22			44
			11			16			29			44
			28			11			17			44
			20			10			26			44
			16			14			26			44
			17			29			10			44
			20			3			33			44
			23			20			13			44
			31			5			20			44
			14			17			25			44
			12			15			29			44
			26			16			14			44
			15			21			20			44
			24			8			24			44
			34			0			22			44
			14			31			11			44
			33			3			20			44
			25			3			28			44
			27			4			25			44
			24			2			30			44
			11			36			9			44
			33			1			22			44
			24			11			21			44
			32			7			17			44
			11			30			15			44
			13			28			15			44
			34			1			21			44
			14			28			14			44
			30			4			22			44
			34			2			20			44
			19			6			31			44
			16			10			30			44
			14			18			24			44
			10			17			29			44
			35			8			13			44
			11			33			12			44
			25			8			23			44
			35			0			21			44
			15			16			25			44
			11			26			19			44
			25			1			30			44
			33			2			21			44
			13			14			29			44
			21			4			31			44
			22			16			18			44
			18			26			12			44
			11			28			17			44
			11			35			10			44
			19			13			24			44
			30			1			25			44
			11			23			22			44
			11			15			30			44
			22			9			25			44
			33			12			11			44
			23			10			23			44
			17			14			25			44
			28			6			22			44
			27			7			22			44
			27			11			18			44
			16			24			16			44
			35			1			20			44
			15			19			22			44
			9			22			25			44
			26			3			27			44
			21			10			25			44
			32			9			15			44
			14			27			15			44
			24			1			31			44
			13			24			19			44
			11			17			28			44
			22			2			32			44
			24			5			27			44
			21			23			12			44
			13			33			10			44
			34			9			13			44
			17			28			11			44
			20			8			28			44
			27			12			17			44
			12			13			31			44
			30			11			15			44
			27			3			26			44
			23			21			12			44
			10			16			30			44
			23			16			17			44
			9			32			15			44
			22			13			21			44
			15			20			21			44
			18			23			15			44
			11			25			20			44
			18			10			28			44
			19			10			27			44
			22			20			14			44
			10			34			12			44
			12			20			24			44
			29			7			20			44
			31			9			16			44
			18			22			16			44
			21			8			27			44
			18			24			14			44
			12			17			27			44
			30			9			17			44
			35			6			15			44
			27			0			29			44
			17			16			23			44
			29			3			24			44
			31			6			19			44
			9			16			31			44
			24			10			22			44
			9			35			12			44
			15			18			23			44
			20			13			23			44
			10			36			10			44
			15			11			30			44
			17			8			31			44
			29			0			27			44
			14			11			31			44
			21			14			21			44
			27			14			15			44
			22			15			19			44
			26			19			11			44
			21			18			17			44
			25			14			17			44
			9			23			24			44
			26			13			17			44
			10			14			32			44
			16			28			12			44
			14			14			28			44
			18			21			17			44
			12			23			21			44
			11			22			23			44
			21			22			13			44
			14			24			18			44
			9			24			23			44
			27			18			11			44
			28			15			13			44
			11			21			24			44
			30			2			24			44
			33			4			19			44
			11			29			16			44
			35			2			19			44
			32			10			14			44
			18			12			26			44
			31			4			21			44
			11			32			13			44
			17			25			14			44
			13			29			14			44
			30			13			13			44
			35			9			12			44
			11			24			21			44
			10			19			27			44
			24			7			25			44
			18			20			18			44
			9			28			19			44
			20			14			22			44
			13			20			23			44
			13			31			12			44
			30			3			23			44
			10			27			19			44
			21			21			14			44
			10			33			13			44
			32			11			13			44
			34			10			12			44
			20			17			19			44
			22			5			29			44
			11			19			26			44
			18			28			10			44
			27			13			16			44
			26			6			24			44
			29			9			18			44
			33			5			18			44
			14			33			9			44
			13			32			11			44
			26			7			23			44
			16			11			29			44
			14			26			16			44
			14			25			17			44
			12			29			15			44
			22			11			23			44
			21			12			23			44
			19			24			13			44
			13			25			18			44
			23			15			18			44
			28			14			14			44
			15			23			18			44
			34			4			18			44
			19			7			30			44
			17			27			12			44
			22			1			33			44
			27			8			21			44
			22			14			20			44
			14			15			27			44
			30			6			20			44
			21			19			16			44
			28			5			23			44
			24			0			32			44
			25			5			26			44
			19			16			21			44
			19			14			23			44
			15			24			17			44
			19			22			16			43
			11			14			32			43
			25			10			22			43
			17			27			13			43
			9			25			23			43
			15			21			21			43
			35			0			22			43
			19			18			20			43
			16			26			15			43
			13			34			10			43
			17			17			23			43
			15			16			26			43
			26			3			28			43
			32			12			13			43
			16			9			32			43
			17			19			21			43
			15			19			23			43
			30			2			25			43
			23			13			21			43
			18			28			11			43
			23			10			24			43
			14			22			21			43
			13			28			16			43
			15			18			24			43
			23			12			22			43
			10			30			17			43
			11			15			31			43
			19			24			14			43
			28			4			25			43
			23			6			28			43
			19			17			21			43
			9			29			19			43
			17			16			24			43
			28			13			16			43
			25			4			28			43
			19			11			27			43
			16			25			16			43
			20			24			13			43
			20			14			23			43
			20			16			21			43
			13			26			18			43
			31			11			15			43
			9			19			29			43
			9			28			20			43
			9			35			13			43
			14			32			11			43
			35			4			18			43
			11			33			13			43
			30			14			13			43
			31			12			14			43
			29			7			21			43
			14			19			24			43
			29			3			25			43
			29			12			16			43
			12			13			32			43
			17			14			26			43
			22			7			28			43
			24			3			30			43
			25			0			32			43
			16			27			14			43
			32			4			21			43
			19			23			15			43
			28			7			22			43
			12			12			33			43
			22			4			31			43
			16			20			21			43
			31			1			25			43
			10			18			29			43
			26			17			14			43
			17			10			30			43
			12			18			27			43
			28			8			21			43
			23			7			27			43
			20			13			24			43
			33			5			19			43
			26			12			19			43
			34			6			17			43
			17			28			12			43
			20			4			33			43
			21			12			24			43
			27			6			24			43
			33			7			17			43
			20			7			30			43
			32			2			23			43
			11			30			16			43
			27			0			30			43
			26			8			23			43
			12			16			29			43
			18			12			27			43
			24			15			18			43
			28			9			20			43
			22			19			16			43
			35			3			19			43
			14			21			22			43
			13			12			32			43
			14			10			33			43
			19			9			29			43
			11			36			10			43
			20			12			25			43
			31			10			16			43
			21			9			27			43
			26			6			25			43
			18			8			31			43
			19			13			25			43
			16			30			11			43
			35			6			16			43
			21			3			33			43
			19			7			31			43
			13			23			21			43
			13			30			14			43
			32			3			22			43
			12			19			26			43
			13			17			27			43
			10			37			10			43
			10			21			26			43
			34			2			21			43
			22			14			21			43
			9			15			33			43
			20			15			22			43
			25			3			29			43
			33			3			21			43
			15			20			22			43
			10			24			23			43
			17			11			29			43
			16			16			25			43
			23			4			30			43
			25			5			27			43
			13			15			29			43
			24			17			16			43
			12			33			12			43
			22			12			23			43
			11			27			19			43
			24			7			26			43
			25			2			30			43
			20			17			20			43
			24			21			12			43
			24			18			15			43
			31			8			18			43
			11			21			25			43
			13			20			24			43
			24			8			25			43
			34			3			20			43
			24			5			28			43
			17			20			20			43
			24			10			23			43
			23			1			33			43
			33			6			18			43
			20			3			34			43
			14			28			15			43
			35			1			21			43
			23			14			20			43
			10			16			31			43
			28			6			23			43
			12			23			22			43
			15			28			14			43
			35			2			20			43
			13			25			19			43
			15			22			20			43
			27			10			20			43
			17			25			15			43
			25			1			31			43
			16			19			22			43
			18			17			22			43
			35			5			17			43
			9			20			28			43
			12			17			28			43
			21			17			19			43
			32			1			24			43
			31			14			12			43
			9			18			30			43
			32			0			25			43
			19			25			13			43
			29			5			23			43
			16			11			30			43
			19			14			24			43
			27			18			12			43
			22			2			33			43
			20			22			15			43
			31			2			24			43
			19			6			32			43
			31			6			20			43
			15			14			28			43
			22			3			32			43
			30			6			21			43
			21			19			17			43
			16			14			27			43
			12			20			25			43
			15			8			34			43
			20			8			29			43
			18			26			13			43
			19			20			18			43
			24			6			27			43
			17			29			11			43
			27			7			23			43
			33			12			12			43
			28			5			24			43
			22			1			34			43
			12			34			11			43
			23			21			13			43
			11			13			33			43
			21			15			21			43
			24			14			19			43
			23			20			14			43
			21			25			11			43
			24			16			17			43
			12			14			31			43
			21			22			14			43
			11			20			26			43
			10			17			30			43
			27			14			16			43
			25			18			14			43
			20			9			28			43
			11			18			28			43
			25			19			13			43
			18			16			23			43
			19			4			34			43
			14			11			32			43
			25			15			17			43
			13			14			30			43
			23			3			31			43
			31			5			21			43
			22			24			11			43
			13			22			22			43
			29			6			22			43
			29			4			24			43
			9			17			31			43
			21			21			15			43
			9			36			12			43
			15			27			15			43
			17			26			14			43
			20			23			14			43
			9			30			18			43
			22			17			18			43
			23			8			26			43
			30			0			27			43
			10			32			15			43
			12			32			13			43
			29			13			15			43
			14			14			29			43
			30			3			24			43
			22			16			19			43
			18			5			34			43
			22			8			27			43
			14			17			26			43
			11			26			20			43
			21			11			25			43
			10			26			21			43
			35			9			13			43
			24			1			32			43
			11			17			29			43
			31			9			17			43
			15			10			32			43
			9			21			27			43
			33			10			14			43
			23			18			16			43
			31			4			22			43
			19			15			23			43
			12			28			17			43
			29			10			18			43
			29			2			26			43
			10			25			22			43
			28			15			14			43
			22			10			25			43
			9			27			21			43
			32			6			19			43
			25			9			23			43
			24			13			20			43
			15			30			12			43
			18			6			33			43
			25			7			25			43
			12			15			30			43
			29			11			17			43
			18			11			28			43
			10			28			19			43
			13			24			20			43
			21			13			23			43
			33			4			20			43
			22			21			14			43
			14			25			18			43
			19			8			30			43
			21			7			29			43
			20			18			19			43
			12			25			20			43
			30			9			18			43
			9			24			24			43
			30			1			26			43
			26			15			16			43
			16			15			26			43
			23			23			11			43
			13			27			17			43
			10			23			24			43
			32			7			18			43
			24			20			13			43
			18			15			24			43
			23			9			25			43
			22			11			24			43
			25			11			21			43
			21			10			26			43
			30			13			14			43
			21			18			18			43
			32			9			16			43
			30			7			20			43
			14			12			31			43
			11			32			14			43
			9			32			16			43
			19			12			26			43
			29			0			28			43
			9			23			25			43
			16			21			20			43
			17			13			27			43
			13			31			13			43
			27			16			14			43
			16			8			33			43
			25			17			15			43
			29			8			20			43
			30			15			12			43
			32			11			14			43
			11			22			24			43
			13			13			31			43
			10			19			28			43
			10			15			32			43
			25			16			16			43
			23			0			34			43
			23			16			18			43
			28			12			17			43
			10			33			14			43
			26			9			22			43
			13			11			33			43
			9			34			14			43
			34			0			23			43
			28			14			15			43
			18			14			25			43
			24			11			22			43
			17			6			34			43
			26			5			26			43
			27			4			26			43
			22			13			22			43
			10			29			18			43
			33			1			23			43
			9			31			17			43
			14			27			16			43
			22			18			17			43
			22			5			30			43
			32			5			20			43
			33			9			15			43
			15			15			27			43
			30			12			15			43
			12			29			16			43
			9			38			10			43
			26			1			30			43
			14			26			17			43
			27			8			22			43
			27			15			15			43
			30			11			16			43
			18			25			14			43
			24			19			14			43
			18			9			30			43
			15			23			19			43
			25			8			24			43
			11			19			27			43
			30			8			19			43
			29			15			13			43
			28			0			29			43
			18			24			15			43
			22			9			26			43
			34			8			15			43
			10			35			12			43
			34			10			13			43
			15			11			31			43
			19			26			12			43
			12			26			19			43
			18			22			17			43
			13			32			12			43
			21			20			16			43
			10			22			25			43
			12			22			23			43
			27			1			29			43
			28			17			12			43
			13			21			23			43
			17			8			32			43
			10			31			16			43
			24			0			33			43
			18			23			16			43
			11			16			30			43
			14			16			27			43
			20			25			12			43
			9			37			11			43
			22			6			29			43
			24			4			29			43
			12			21			24			43
			14			29			14			43
			26			11			20			43
			16			22			19			43
			21			6			30			43
			16			28			13			43
			14			13			30			43
			34			1			22			43
			17			12			28			43
			27			11			19			43
			17			7			33			43
			31			3			23			43
			25			14			18			43
			16			23			18			43
			10			27			20			43
			15			25			17			43
			14			15			28			43
			34			4			19			43
			17			18			22			43
			21			24			12			43
			19			19			19			43
			12			24			21			43
			16			12			29			43
			15			31			11			43
			15			24			18			43
			15			9			33			43
			9			26			22			43
			19			21			17			43
			19			10			28			43
			33			8			16			43
			10			36			11			43
			18			10			29			43
			13			19			25			43
			26			14			17			43
			18			7			32			43
			12			31			14			43
			17			24			16			43
			33			2			22			43
			29			1			27			43
			23			11			23			43
			30			5			22			43
			21			2			34			43
			15			17			25			43
			23			22			12			43
			14			9			34			43
			25			12			20			43
			14			20			23			43
			28			3			26			43
			18			27			12			43
			17			23			17			43
			10			34			13			43
			17			15			25			43
			34			7			16			43
			31			7			19			43
			16			10			31			43
			26			19			12			43
			23			19			15			43
			21			16			20			43
			14			24			19			43
			30			10			17			43
			20			20			17			43
			28			1			28			43
			21			14			22			43
			9			33			15			43
			17			9			31			43
			33			11			13			43
			22			23			12			43
			23			15			19			43
			29			14			14			43
			10			20			27			43
			11			31			15			43
			21			5			31			43
			16			18			23			43
			20			26			11			43
			26			2			29			43
			16			29			12			43
			29			9			19			43
			26			10			21			43
			21			8			28			43
			11			35			11			43
			14			30			13			43
			28			11			18			43
			11			28			18			43
			22			15			20			43
			26			16			15			43
			17			21			19			43
			26			13			18			43
			32			10			15			43
			20			21			16			43
			27			9			21			43
			10			14			33			43
			13			29			15			43
			20			10			27			43
			18			13			26			43
			20			6			31			43
			21			23			13			43
			27			2			28			43
			11			25			21			43
			16			24			17			43
			16			13			28			43
			25			13			19			43
			11			29			17			43
			18			20			19			43
			13			18			26			43
			29			16			12			43
			35			7			15			43
			13			16			28			43
			26			4			27			43
			34			5			18			43
			9			22			26			43
			31			0			26			43
			9			16			32			43
			27			5			25			43
			33			0			24			43
			24			9			24			43
			19			5			33			43
			16			17			24			43
			14			18			25			43
			13			33			11			43
			27			13			17			43
			26			18			13			43
			27			17			13			43
			31			13			13			43
			23			17			17			43
			24			12			21			43
			19			16			22			43
			20			5			32			43
			26			7			24			43
			15			12			30			43
			27			12			18			43
			26			0			31			43
			12			35			10			43
			21			4			32			43
			12			27			18			43
			18			19			20			43
			35			8			14			43
			16			7			34			43
			15			29			13			43
			28			2			27			43
			27			3			27			43
			32			8			17			43
			28			16			13			43
			15			26			16			43
			22			22			13			43
			17			22			18			43
			19			27			11			43
			24			2			31			43
			30			4			23			43
			23			2			32			43
			11			34			12			43
			32			13			12			43
			34			9			14			43
			11			24			22			43
			28			10			19			43
			11			23			23			43
			14			23			20			43
			22			20			15			43
			20			19			18			43
			25			6			26			43
			15			13			29			43
			18			18			21			43
			25			20			12			43
			23			5			29			43
			20			11			26			43
			18			21			18			43
			12			30			15			43
			14			31			12			43
			9			35			14			42
			10			30			18			42
			15			29			14			42
			9			16			33			42
			9			24			25			42
			24			13			21			42
			28			2			28			42
			20			11			27			42
			13			12			33			42
			11			28			19			42
			20			20			18			42
			14			15			29			42
			17			18			23			42
			12			34			12			42
			34			5			19			42
			18			13			27			42
			10			36			12			42
			16			29			13			42
			16			21			21			42
			16			16			26			42
			20			16			22			42
			23			20			15			42
			14			25			19			42
			19			23			16			42
			14			32			12			42
			20			23			15			42
			17			9			32			42
			35			2			21			42
			29			3			26			42
			12			32			14			42
			14			9			35			42
			11			13			34			42
			15			23			20			42
			12			22			24			42
			13			22			23			42
			17			25			16			42
			29			2			27			42
			10			14			34			42
			24			9			25			42
			11			25			22			42
			24			4			30			42
			16			13			29			42
			18			27			13			42
			15			11			32			42
			26			7			25			42
			33			9			16			42
			25			17			16			42
			27			15			16			42
			26			16			16			42
			13			10			35			42
			35			1			22			42
			24			8			26			42
			9			33			16			42
			29			14			15			42
			11			16			31			42
			12			16			30			42
			31			14			13			42
			27			12			19			42
			24			18			16			42
			13			30			15			42
			10			23			25			42
			34			8			16			42
			11			26			21			42
			18			25			15			42
			13			33			12			42
			14			20			24			42
			25			5			28			42
			14			18			26			42
			30			9			19			42
			9			17			32			42
			11			36			11			42
			15			24			19			42
			32			9			17			42
			13			16			29			42
			12			27			19			42
			14			31			13			42
			34			9			15			42
			29			4			25			42
			30			5			23			42
			29			16			13			42
			13			11			34			42
			9			30			19			42
			21			18			19			42
			21			6			31			42
			25			12			21			42
			11			19			28			42
			20			3			35			42
			30			11			17			42
			16			9			33			42
			19			22			17			42
			19			5			34			42
			19			14			25			42
			25			4			29			42
			10			22			26			42
			30			6			22			42
			31			8			19			42
			30			4			24			42
			21			14			23			42
			19			6			33			42
			21			8			29			42
			21			11			26			42
			16			17			25			42
			23			1			34			42
			12			28			18			42
			12			25			21			42
			26			9			23			42
			15			26			17			42
			13			25			20			42
			23			21			14			42
			17			16			25			42
			35			3			20			42
			16			7			35			42
			27			11			20			42
			15			18			25			42
			14			26			18			42
			13			29			16			42
			24			14			20			42
			22			4			32			42
			19			11			28			42
			13			28			17			42
			17			11			30			42
			25			19			14			42
			25			18			15			42
			31			5			22			42
			21			23			14			42
			16			27			15			42
			22			3			33			42
			21			7			30			42
			15			27			16			42
			33			6			19			42
			22			15			21			42
			12			17			29			42
			18			28			12			42
			24			3			31			42
			9			19			30			42
			16			25			17			42
			17			17			24			42
			18			16			24			42
			23			2			33			42
			28			16			14			42
			17			8			33			42
			22			24			12			42
			24			11			23			42
			9			27			22			42
			10			37			11			42
			15			30			13			42
			28			9			21			42
			12			24			22			42
			22			19			17			42
			17			28			13			42
			27			7			24			42
			15			21			22			42
			31			3			24			42
			9			36			13			42
			29			5			24			42
			28			14			16			42
			9			32			17			42
			15			15			28			42
			15			14			29			42
			18			22			18			42
			28			7			23			42
			20			6			32			42
			15			22			21			42
			20			21			17			42
			22			1			35			42
			29			8			21			42
			14			12			32			42
			23			22			13			42
			27			2			29			42
			29			6			23			42
			17			15			26			42
			26			17			15			42
			26			10			22			42
			23			8			27			42
			19			24			15			42
			21			15			22			42
			24			10			24			42
			16			19			23			42
			17			22			19			42
			28			1			29			42
			15			13			30			42
			26			8			24			42
			34			7			17			42
			11			18			29			42
			11			23			24			42
			17			27			14			42
			22			7			29			42
			20			8			30			42
			9			28			21			42
			25			20			13			42
			17			14			27			42
			18			12			28			42
			10			28			20			42
			17			29			12			42
			18			6			34			42
			10			32			16			42
			24			20			14			42
			27			8			23			42
			27			5			26			42
			11			17			30			42
			25			16			17			42
			15			31			12			42
			25			10			23			42
			12			13			33			42
			17			24			17			42
			18			17			23			42
			28			8			22			42
			32			11			15			42
			13			18			27			42
			10			17			31			42
			34			1			23			42
			15			16			27			42
			31			0			27			42
			34			6			18			42
			9			21			28			42
			11			32			15			42
			18			18			22			42
			33			7			18			42
			14			10			34			42
			12			18			28			42
			13			14			31			42
			16			10			32			42
			16			8			34			42
			12			23			23			42
			33			10			15			42
			32			12			14			42
			24			7			27			42
			24			17			17			42
			13			15			30			42
			35			7			16			42
			34			4			20			42
			26			0			32			42
			21			20			17			42
			10			33			15			42
			28			10			20			42
			25			8			25			42
			32			13			13			42
			12			19			27			42
			33			5			20			42
			14			29			15			42
			19			4			35			42
			21			5			32			42
			26			6			26			42
			29			11			18			42
			33			4			21			42
			21			9			28			42
			21			21			16			42
			26			13			19			42
			22			12			24			42
			19			18			21			42
			24			12			22			42
			20			14			24			42
			18			15			25			42
			23			7			28			42
			22			23			13			42
			23			5			30			42
			18			8			32			42
			20			26			12			42
			34			2			22			42
			25			2			31			42
			13			26			19			42
			22			14			22			42
			18			14			26			42
			27			10			21			42
			9			18			31			42
			25			0			33			42
			32			5			21			42
			9			38			11			42
			30			0			28			42
			23			19			16			42
			10			15			33			42
			20			15			23			42
			28			13			17			42
			22			18			18			42
			23			4			31			42
			12			12			34			42
			24			6			28			42
			32			10			16			42
			11			20			27			42
			32			3			23			42
			14			23			21			42
			17			13			28			42
			15			12			31			42
			21			22			15			42
			16			20			22			42
			17			6			35			42
			19			8			31			42
			18			10			30			42
			23			9			26			42
			14			14			30			42
			35			5			18			42
			11			27			20			42
			15			25			18			42
			28			12			18			42
			27			13			18			42
			24			1			33			42
			31			6			21			42
			20			4			34			42
			18			21			19			42
			29			7			22			42
			26			1			31			42
			20			19			19			42
			27			18			13			42
			25			6			27			42
			16			28			14			42
			30			1			27			42
			14			28			16			42
			18			24			16			42
			26			11			21			42
			19			13			26			42
			9			26			23			42
			22			20			16			42
			23			18			17			42
			20			12			26			42
			16			26			16			42
			22			22			14			42
			32			1			25			42
			19			20			19			42
			26			14			18			42
			23			17			18			42
			22			9			27			42
			11			22			25			42
			30			14			14			42
			17			21			20			42
			22			2			34			42
			10			25			23			42
			11			21			26			42
			11			24			23			42
			22			5			31			42
			11			30			17			42
			20			9			29			42
			28			17			13			42
			31			12			15			42
			16			24			18			42
			27			6			25			42
			10			18			30			42
			9			20			29			42
			14			30			14			42
			21			24			13			42
			26			2			30			42
			11			33			14			42
			31			1			26			42
			16			12			30			42
			13			21			24			42
			9			25			24			42
			13			20			25			42
			28			0			30			42
			34			10			14			42
			19			7			32			42
			14			13			31			42
			16			23			19			42
			20			22			16			42
			25			15			18			42
			26			19			13			42
			14			21			23			42
			30			10			18			42
			21			2			35			42
			18			19			21			42
			31			4			23			42
			21			17			20			42
			16			11			31			42
			33			2			23			42
			16			18			24			42
			13			19			26			42
			27			4			27			42
			29			1			28			42
			22			21			15			42
			33			0			25			42
			9			29			20			42
			22			17			19			42
			10			27			21			42
			18			26			14			42
			14			17			27			42
			28			4			26			42
			19			16			23			42
			27			9			22			42
			29			10			19			42
			17			7			34			42
			25			9			24			42
			30			3			25			42
			18			20			20			42
			12			31			15			42
			12			15			31			42
			20			5			33			42
			33			11			14			42
			31			9			18			42
			33			3			22			42
			9			23			26			42
			24			0			34			42
			23			11			24			42
			32			4			22			42
			24			15			19			42
			12			35			11			42
			29			9			20			42
			29			15			14			42
			13			31			14			42
			31			10			17			42
			21			12			25			42
			12			33			13			42
			29			0			29			42
			28			15			15			42
			32			6			20			42
			20			25			13			42
			23			3			32			42
			31			13			14			42
			20			10			28			42
			27			14			17			42
			27			3			28			42
			14			24			20			42
			21			10			27			42
			12			14			32			42
			15			10			33			42
			11			34			13			42
			30			15			13			42
			35			8			15			42
			19			19			20			42
			10			29			19			42
			9			34			15			42
			12			20			26			42
			12			26			20			42
			27			1			30			42
			22			13			23			42
			13			13			32			42
			35			0			23			42
			11			29			18			42
			25			13			20			42
			26			4			28			42
			14			11			33			42
			35			9			14			42
			27			0			31			42
			28			6			24			42
			30			13			15			42
			13			27			18			42
			10			19			29			42
			9			22			27			42
			23			6			29			42
